show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s113,TV Show,"Doogie Kamealoha, M.D.",,"Peyton Elizabeth Lee, Emma Meisel, Matthew Sato, Wes Tian, Jeffrey Bowyer-Chapman, Mapuana Makia",United States,8-Sep-21,2021,TV-PG,1 Season,"Comedy, Coming of Age, Family",A 16-year-old prodigy juggles her budding medical career with the daily challenges of teenage life.
s114,TV Show,"Mira, Royal Detective",,"Leela Ladnier, Utkarsh Ambudkar, Roshni Edwards, Kal Penn, Kamran Lucas",United States,8-Sep-21,2020,TV-Y,2 Seasons,"Animation, Fantasy, Kids",Mira is the new royal detective in the land of Jalpur!
s115,TV Show,Pepper Ann,,"Kathleen Wilhoite, Clea Lewis, Danny Cooksey, Pamela Segall, April Winchell, Don Adams",United States,8-Sep-21,1997,TV-Y,3 Seasons,"Animation, Comedy, Coming of Age",Pepper Ann Pearson is a teenage girl on an eternal quest for coolness.
s116,TV Show,The Incredible Dr. Pol,,"Rick Robles, Dr. Pol",United States,8-Sep-21,2011,TV-14,19 Seasons,"Animals & Nature, Docuseries, Family",Dr. Pol and his team handle challenging veterinary cases and animal emergencies in central Michigan.
s117,Movie,Happier Than Ever: A Love Letter to Los Angeles,"Robert Rodriguez, Patrick Osborne","Billie Eilish, FINNEAS",United States,3-Sep-21,2021,TV-14,66 min,"Concert Film, Music","Billie Eilish makes her Disney+ debut with ""Happier Than Ever: A Love Letter to Los Angeles."""
s118,Movie,X-Men: Dark Phoenix,Simon Kinberg,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult, Sophie Turner, Tye Sheridan","United States, Canada",3-Sep-21,2019,PG-13,115 min,"Action-Adventure, Family, Science Fiction","When Jean Grey transforms into the Dark Phoenix, the X-Men unite to face their greatest enemy yet."
s119,TV Show,Alaska Animal Rescue,,Victoria Vosburg,United States,1-Sep-21,2019,TV-PG,2 Seasons,"Animals & Nature, Docuseries, Family",Conservation heroes rescue and rehabilitate the wild animals of America’s last frontier.
s120,TV Show,Dug Days,,"Bob Peterson, Ed Asner, Jordan Nagai",United States,1-Sep-21,2021,TV-PG,1 Season,"Animation, Comedy, Family","“Dug Days” is a collection of shorts that follows the adventures of Dug, the dog from Pixar’s “Up.”"
s121,Movie,Cruella,Craig Gillespie,"Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste","United States, United Kingdom",27-Aug-21,2021,PG-13,137 min,"Crime, Drama","Witness the origin of Disney’s most notorious and notoriously fashionable villain, Cruella de Vil."
s122,Movie,Dan in Real Life,Peter Hedges,"Steve Carell, Juliette Binoche, Dane Cook, John Mahoney, Emily Blunt, Alison Pill",United States,27-Aug-21,2007,PG-13,99 min,"Comedy, Drama, Romance",A relationship expert falls in love with his brother's new girlfriend.
s123,Movie,Disney Princess Remixed - An Ultimate Princess Celebration,Napoleon Dumo,"Txunamy Oriz, Natalie Peyser, Dara Reneé, Frankie Rodriguez, Julia Lester, Ruth Righi",,27-Aug-21,2021,TV-G,22 min,"Family, Music, Variety",Celebrate the timeless music of Disney Princess!
s124,Movie,Marvel One-Shot: All Hail the King,Drew Pearce,"Ben Kingsley, Scoot McNairy, Lester Speight, Sam Rockwell, Matt Gerald, Allen Maldonado",United States,27-Aug-21,2014,TV-14,14 min,"Comedy, Drama, Thriller","Locked up in prison, infamous icon Trevor Slattery agrees to meet with a documentary filmmaker."
s125,Movie,Underdog,Frederik Du Chau,"Jason Lee, Amy Adams, Jim Belushi, Peter Dinklage, Patrick Warburton, Alex Neuberger",United States,27-Aug-21,2007,PG,85 min,"Action-Adventure, Family, Parody",A super-powered beagle tries to save Capital City from a mad scientist.
s126,TV Show,Dr. K's Exotic Animal ER,,"Dr. Susan Kelleher, Art Edmonds",,25-Aug-21,2014,TV-14,9 Seasons,"Animals & Nature, Docuseries, Family",Dedicated veterinarians treat a colorful array of exotic pets in south Florida.
s127,TV Show,Gigantosaurus,,"Dylan Schombing, Áine Sunderland, Nahanni Mitchell, Nicholas Holmes",France,25-Aug-21,2018,TV-Y,2 Seasons,"Action-Adventure, Animation, Kids",Four dinos explore the mystery of the Gigantosaurus!
s128,TV Show,Life Below Zero: Next Generation,,Mocean Melvin,United States,25-Aug-21,2020,TV-14,2 Seasons,"Action-Adventure, Animals & Nature, Docuseries",The next generation of Alaskans struggle to survive without modern-day comforts.
s129,Movie,Eragon,Stefen Fangmeier,"Ed Speleers, Jeremy Irons, Sienna Guillory, Robert Carlyle, John Malkovich, Garrett Hedlund","United States, United Kingdom, Hungary",20-Aug-21,2006,PG,104 min,"Action-Adventure, Family, Fantasy","In a mythical time, a teenage boy becomes a dragon rider and embarks on a journey of adventure."
s130,TV Show,Growing Up Animal,,Tracee Ellis Ross,,18-Aug-21,2021,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Magical stories of baby animals on the journey from womb to the wild.
s131,Movie,Fantastic Four,Tim Story,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington","United States, Germany",13-Aug-21,2005,PG-13,106 min,"Action-Adventure, Family, Science Fiction",Four astronauts develop superpowers and must join forces to protect mankind from doom.
s132,Movie,X-Men,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden",United States,13-Aug-21,2000,PG-13,105 min,"Action-Adventure, Family, Science Fiction","The X-Men, a small band of outcast mutants, fight to save a world that hates and fears them."
s133,TV Show,America's Funniest Home Videos: Animal Edition,,Alfonso Ribeiro,,11-Aug-21,2021,TV-PG,1 Season,Reality,NatGeo meets AMERICA’S FUNNIEST HOME VIDEOS in a hilarious new animal show
s134,TV Show,Chicken Squad,,"Ramone Hamilton, Gabriella Graves, Maxwell Simkins, Yvette Nicole Brown",United States,11-Aug-21,2021,TV-Y,1 Season,"Animation, Kids, Police/Cop",BAGAWK! Say hello to the Chicken Squad.
s135,TV Show,Disney Presents Goofy in How to Stay at Home,,"Bill Farmer, Corey Burton",,11-Aug-21,2021,TV-G,1 Season,"Animation, Comedy, Family","Goofy’s back in a trio of all-new, hand-drawn animated shorts from Walt Disney Animation Studios."
s136,TV Show,Gabby Duran And The Unsittables,,"Kylie Cantrall, Maxwell Donovan, Callan Farris, Coco Christo, Valery Ortiz, Nathan Lovejoy",United States,11-Aug-21,2018,TV-G,2 Seasons,"Comedy, Family, Science Fiction","Meet Gabby Duran, your average alien-babysitting girl."
s137,TV Show,What If...?,,,,11-Aug-21,2021,TV-14,1 Season,"Action-Adventure, Animation, Anthology",“What If…?” flips the script on the MCU by reimagining events from the films in unexpected ways.
s138,Movie,Beverly Hills Chihuahua 2,Alex Zamm,"George Lopez, Odette Yustman, Miguel Ferrer, Ernie Hudson, Loretta Devine, Jon Huertas",United States,6-Aug-21,2011,G,88 min,"Action-Adventure, Comedy, Family","Papi and Chloe, those talking Chihuahuas, are back... with a few surprises."
s139,Movie,Beverly Hills Chihuahua 3: Viva La Fiesta!,Lev L. Spiro,"George Lopez, Odette Annable, Ernie Hudson, Miguel Ferrer, Kay Panabaker, Tom Kenny",United States,6-Aug-21,2012,G,92 min,"Comedy, Coming of Age, Family","Papi plans a ""Quince"" for the littlest member of his pack."
s140,Movie,Killer Shark vs Killer Whale,,Edward Marcoux,,6-Aug-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Orcas attack white sharks for their livers leaving scientists baffled.
s141,Movie,Mrs. Doubtfire,Chris Columbus,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub",United States,6-Aug-21,1993,PG-13,126 min,"Comedy, Drama",An eccentric dad dresses as a British nanny so he can care for his kids at the home of their mother.
s142,TV Show,Cesar Millan: Better Human Better Dog,,Dustin Rubin,,4-Aug-21,2021,TV-14,1 Season,"Animals & Nature, Docuseries, Family",Renowned Dog Behaviorist Cesar Millan transforms dogs and pet parents.
s143,TV Show,Walt Disney Animation Studios: Short Circuit Experimental Films,,,,4-Aug-21,2020,PG,2 Seasons,"Animation, Anthology, Family",Welcome to Short Circuit - an experimental short film program at Disney Animation.
s144,Movie,Built for Mars: The Perseverance Rover,Mark J Davis,Steven French,,30-Jul-21,2021,TV-PG,88 min,Documentary,BUILT FOR MARS: THE PERSEVERANCE ROVER follows the birth of the Perseverance rover.
s145,Movie,Garfield,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt, Stephen Tobolowsky, Bill Murray, Evan Arnold, Mark Lawrence",United States,30-Jul-21,2004,PG,82 min,"Comedy, Family","Garfield lures Odie out of the house but once he's lost, Garfield springs into action to save him."
s146,TV Show,Chip 'n' Dale: Park Life,,"Matthew Géczy, Kaycie Chase, Bill Farmer, Sylvain Caruso",,28-Jul-21,2021,TV-Y7,1 Season,"Animation, Buddy, Comedy",Two tiny chipmunks have huge adventures while trying to live the good life in a big city park.
s147,TV Show,Critter Fixers: Country Vets,,Sullivan Jones,United States,28-Jul-21,2020,TV-14,2 Seasons,"Animals & Nature, Docuseries, Family",Dr. Hodges and Dr. Ferguson own and operate a bustling veterinary clinic.
s148,TV Show,Disney Junior T.O.T.S.,,"Vanessa Williams, Megan Hilty, Jet Jurgensmeyer, Christian Simon",United States,28-Jul-21,2018,TV-Y,2 Seasons,"Animation, Buddy, Kids",Pip and Freddy are new Junior Fliers at T.O.T.S.!
s149,TV Show,Mickey Mouse Funhouse,,"Bret Iwan, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille, Harvey Guillén",United States,28-Jul-21,2021,TV-Y,1 Season,"Animation, Kids",Mickey Mouse Funhouse is filled with silly adventure!
s150,TV Show,Minnie's Bow-Toons: Party Palace Pals,,"Tress MacNeille, Nika Futterman, Kaitlyn Robrock",,28-Jul-21,2021,TV-Y7,1 Season,"Animation, Kids",Minnie and Daisy open a party planning business!
s151,TV Show,Turning the Tables with Robin Roberts,,Robin Roberts,,28-Jul-21,2021,TV-PG,1 Season,Talk Show,Robin Roberts sits down with iconic Hollywood women for intimate & inspirational conversations.
s152,Movie,Ice Age: The Meltdown,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary, Seann William Scott, Josh Peck, Queen Latifah","United States, United Kingdom, Australia",23-Jul-21,2006,PG,94 min,"Animation, Comedy, Family","Manny, Sid, Diego and Scrat join forces with new friends to save the valley from an epic flood."
s153,Movie,Playing with Sharks,,"Valerie Taylor, Dr. Sylvia Earle, Jeremiah Sullivan, Wendy Benchley, Jean Michel Cousteau, Michele Hall",,23-Jul-21,2021,TV-14,91 min,"Animals & Nature, Biographical, Documentary","""Playing with Sharks"" captures the life of conservationist Valerie Taylor."
s154,Movie,Shark vs. Surfer,Phil Stebbing,Billy Lloyd,,23-Jul-21,2020,TV-14,44 min,"Animals & Nature, Documentary",Shark vs. Surfer visits shark-infested surf spots to relive the harrowing encounters.
s155,Movie,Shark vs. Whale,,Ted Stewart,,23-Jul-21,2020,TV-PG,44 min,"Animals & Nature, Documentary",Marine biologist Ryan Johnson discovers rare behavior of a whale attacking a great white.
s156,Movie,Stuntman,Kurt Mattila,Eddie Braun,,23-Jul-21,2021,TV-14,87 min,Documentary,Stuntman Eddie Braun attempts to complete Evel Knievel's legendary Snake River Canyon rocket jump.
s157,Movie,Walking with Dinosaurs: The Movie,"Barry Cook, Neil Nightingale","John Leguizamo, Justin Long, Tiya Sircar, Skyler Stone, Angourie Rice, Charlie Rowe",,23-Jul-21,2013,PG,88 min,"Action-Adventure, Family, Fantasy",A young dinosaur named Patchi must find his courage to lead the herd.
s158,Movie,What the Shark?,,Robert Davi,,23-Jul-21,2020,TV-PG,44 min,"Animals & Nature, Documentary",What the Shark? dives deep into the environments where adaptation is critical to survival.
s159,TV Show,Behind the Attraction,,Paget Brewster,,21-Jul-21,2021,TV-PG,1 Season,"Docuseries, Family",Behind the Attraction takes you on a wild ride behind Disney Parks' most iconic attractions!
s160,TV Show,Disney The Owl House,,"Sarah-Nicole Robles, Wendie Malick, Alex Hirsch, Tati Gabrielle, Issac Brown, Mae Whitman","United States, United Kingdom",21-Jul-21,2020,TV-Y7,2 Seasons,"Action-Adventure, Animation, Anime",Luz stumbles upon a portal to a magical new world.
s161,TV Show,Meet Spidey and His Amazing Friends (Shorts),,"Ben Valic, Melanie Minichino",,21-Jul-21,2021,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Meet the friends that help Spidey save the day!
s162,TV Show,Mission Force One,,"Justin Felbinger, Fiona Bishop, Ivy Bishop, Issac Ryan Brown, Sam Lavagnino, Dee Bradley Baker",,21-Jul-21,2017,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Five kids form an elite team to protect the universe!
s163,TV Show,Turner & Hooch,,"Josh Peck, Carra Patterson, Lyndsy Fonseca, Vanessa Lengies, Brandon Jay Mclaren, Anthony Ruivivar",,21-Jul-21,2021,TV-PG,1 Season,"Action-Adventure, Buddy, Comedy",A Deputy Marshal inherits an unruly dog who helps him solve crimes and investigate a family mystery.
s164,Movie,Most Wanted Sharks,,,,16-Jul-21,2020,TV-PG,44 min,"Animals & Nature, Documentary","In Most Wanted Sharks, Jeremiah Sullivan dives into the stories of shark all-stars."
s165,Movie,Secrets of the Bull Shark,,Keston John,,16-Jul-21,2020,TV-14,44 min,"Animals & Nature, Documentary",Secrets of the Bull Shark unravels the mystery of some of the most dangerous predators.
s166,TV Show,Shark Attack Files,,,,16-Jul-21,2021,TV-14,1 Season,"Animals & Nature, Docuseries, Reality",Learn the truth behind the most dramatic shark attacks of our time.
s167,Movie,Shark Attack Investigation: The Paige Winter Story,,,,16-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",A teen survives facing one of the ocean’s deadliest predators.
s168,Movie,Sharkcano,Andy Seestedt,Dan Nachtrab,,16-Jul-21,2020,TV-PG,44 min,"Animals & Nature, Documentary",Dr. Michael Heithaus sets out to reveal the connection between sharks and volcanoes.
s169,Movie,We Bought a Zoo,Cameron Crowe,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Patrick Fugit, Colin Ford, Elle Fanning",United States,16-Jul-21,2011,PG,125 min,"Animals & Nature, Drama, Family",A single dad tries to give his family a fresh start by moving to a home in the middle of a zoo.
s170,Movie,World's Biggest Bullshark,,Jason Hildebrandt,,16-Jul-21,2021,TV-PG,44 min,"Animals & Nature, Documentary","How one of the largest Bull Sharks ever caught, grew to become a giant."
s171,Movie,World's Most Dangerous Shark?,Kevin Bachar,Brain Cade,,16-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Are Oceanic White Tips the most dangerous of all the sharks?
s172,TV Show,So Random!,,"Tiffany Thornton, Sterling Knight, Brandon Mychal Smith, Doug Brochu, Allisyn Ashley Arm",United States,14-Jul-21,2011,TV-G,1 Season,"Comedy, Coming of Age",A musical sketch comedy show.
s173,Movie,Flicka,Michael Mayer,"Alison Lohman, Tim McGraw, Maria Bello, Ryan Kwanten, Danny Pino, Dallas Roberts","United States, United Kingdom",9-Jul-21,2006,PG,95 min,"Animals & Nature, Coming of Age, Drama",A 14-year-old girl befriends a wild filly and tries to rescue the horse from a rodeo entrepreneur.
s174,Movie,"Miraculous World: Shanghai, The Legend of Ladydragon",Thomas Astruc,"Cristina 'Vee"" Valenzuela, Bryce Papenbrook, Keith Silverstein, Carrie Keranen, Todd Haberkorn, Max Mittelman",,9-Jul-21,2021,TV-Y7-FV,54 min,"Animation, Fantasy",Marinette heads to Shanghai to meet Adrien.
s175,Movie,Orca vs. Great White,Sigmund Spath Jr.,"Kina Scollay, Ingrid Visser, Ray Robertson",,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Researchers investigate if orcas are hunting great whites in New Zealand.
s176,Movie,Rogue Shark?,Mark Woodward,Mocean Melvin,,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary","A vacation hot spot is rocked by a series of shark attacks, chaos reigns."
s177,Movie,Shark Beach with Chris Hemsworth,Sally Aitken,Chris Hemsworth,United States,9-Jul-21,2021,TV-PG,44 min,"Animals & Nature, Documentary",Chris Hemsworth investigates how we can live harmoniously with sharks.
s178,Movie,Shark Gangs,"Jacob Cobi Benattia, Pete Berg, James Buchanan",,,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",Scientists investigate why some sharks roam the oceans in gangs.
s179,Movie,The Croc That Ate Jaws,Mark Woodward,Dan Nachtrab,,9-Jul-21,2021,TV-14,44 min,"Animals & Nature, Documentary",What happens when two of the deadliest predators go head to head?
s180,TV Show,When Sharks Attack,,Eric Meyers,United States,9-Jul-21,2013,TV-14,7 Seasons,Reality,National Geographic investigates shark attacks.
s181,TV Show,Breaking Bobby Bones,,Bobby Bones,United States,7-Jul-21,2021,TV-14,1 Season,"Action-Adventure, Docuseries, Reality",Bobby Bones travels to meet local heroes who challenge him to conquer their trades.
s182,TV Show,Mickey Mouse Mixed-Up Adventures,,"Bret Iwan, Russi Taylor, Bill Farmer, Daniel Ross, Tress MacNeile",United States,7-Jul-21,2019,TV-Y,1 Season,"Animation, Kids, Sports",Hot Dog! Get mixed-up with Mickey and all of his pals!
s183,TV Show,Monsters at Work,,"Billy Crystal, John Goodman, Ben Feldman, Mindy Kaling, Henry Winkler, Lucas Neff",United States,7-Jul-21,2021,TV-G,1 Season,"Animation, Comedy, Family","""Monsters at Work"" tells the story of Tylor Tuskmon and his dream to become a Jokester."
s184,Movie,"The Good, The Bart, and The Loki",David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith",,7-Jul-21,2021,TV-PG,6 min,"Animation, Comedy, Fantasy","Banished from Asgard once again, Loki takes on the Simpsons and Springfield’s mightiest heroes."
s185,TV Show,Disney Raven's Home,,"Raven-Symoné , Issac Brown, Navia Robinson, Jason Maybaum, Sky Katz, Anneliese van der Pol",United States,2-Jul-21,2016,TV-G,4 Seasons,"Comedy, Family, Fantasy",Raven and Chelsea raise their three children together.
s186,Movie,The Sandlot,David Mickey Evans,"Art La Fleur, Tom Guiry, Mike Vitar, Patrick Renna, Chauncey Leopardi, Marty York",United States,2-Jul-21,1993,PG,101 min,"Comedy, Coming of Age, Family",A shy boy moves to a new neighborhood and becomes involved with a ragtag baseball team.
s187,Movie,The Sandlot 2,David Mickey Evans,"Max Lloyd-Jones, James Willson, Samantha Burton, Brett Kelly, James Earl Jones, Cole Evan Weiss",United States,2-Jul-21,2005,PG,98 min,"Comedy, Sports","10 years after the events at The Sandlot, a team of boys and girls overcome an all-new challenge."
s188,Movie,Adventures in Babysitting,Chris Columbus,"Elisabeth Shue, Maia Brewton, Keith Coogan, Anthony Rapp, Calvin Levels, Vincent Phillip D'Onofrio",United States,25-Jun-21,1987,TV-PG,102 min,"Action-Adventure, Comedy, Coming of Age",A seemingly quiet night turns into a wild expedition for a teen babysitter.
s189,TV Show,Running Wild with Bear Grylls,,Bear Grylls,United States,25-Jun-21,2019,TV-PG,2 Seasons,"Action-Adventure, Reality, Survival",Survivalist Bear Grylls takes celebrities on wild adventures they won’t forget.
s190,TV Show,The Mysterious Benedict Society,,"Tony Hale, Kristen Schaal, Mystic Inscho, Seth Carr, Marta Kessler, Emmy DeOliveira",United States,25-Jun-21,2021,TV-PG,1 Season,"Action-Adventure, Family",Four gifted orphans are recruited by the eccentric Mr. Benedict to save the world.
s191,Movie,Wolfgang,David Gelb,Wolfgang Puck,,25-Jun-21,2021,TV-PG,80 min,"Biographical, Documentary",Wolfgang Puck persevered after a troubled childhood to become the world’s most famous chef.
s192,TV Show,Dino Ranch,,"Tyler Nathan, Jacob Mazeral, Ava Ro, Scott Gorman, Athena Karkanis",Canada,18-Jun-21,2021,TV-Y,1 Season,"Animation, Kids, Western","Join the Cassidy family on their ""prewestoric"" farm!"
s193,TV Show,Disney Just Roll With It,,"Ramon Reed, Kaylin Hayman, Suzi Barrett, Tobie Windham",United States,18-Jun-21,2018,TV-Y7,2 Seasons,"Comedy, Family",This family's fate rests in the hands of the audience!
s194,TV Show,"Heartland Docs, DVM",,"Dr. Erin Schroeder, Dr. Ben Schroeder",United States,18-Jun-21,2019,TV-14,3 Seasons,"Animals & Nature, Docuseries, Family",Heartland vets Ben and Erin Schroeder live and work among farmers in the Midwest.
s195,Movie,Luca,Enrico Casarosa,"Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Maya Rudolph, Marco Barricelli, Jim Gaffigan",United States,18-Jun-21,2021,PG,101 min,"Animation, Buddy, Coming of Age","Join Luca, a young sea monster, as he experiences an unforgettable summer on the Italian Riviera."
s196,TV Show,Star Wars Vintage: Droids,,"Anthony Daniels, R2-D2, Lesleh Donaldson, Andrew Sabiston, Don Francks, Dan Hennessey",,18-Jun-21,1985,TV-Y7-FV,2 Seasons,"Action-Adventure, Animation, Fantasy",Share the early adventures of R2-D2 and C-3PO in this action-packed animated series!
s197,TV Show,Puppy Dog Pals,,"Harland Williams, Isaac Brown, Jessica DiCicco, Sam Lavagnino, Leslie Baker, Tara Strong","United States, India",11-Jun-21,2016,TV-G,4 Seasons,"Animation, Kids",Two puppies are on a mission for fun and adventure!
s198,Movie,Strange Magic,Gary Rydstrom,"Alan Cumming, Evan Rachel Wood, Elijah Kelley, Meredith Anne Bull, Sam Palladio, Kristin Chenoweth","United States, Canada, United Kingdom, Singapore, Australia, Thailand",11-Jun-21,2015,PG,101 min,"Action-Adventure, Animation, Family",A tough fairy princess crosses paths with the sinister Bog King.
s199,Movie,The Happiest Millionaire,Norman Tokar,"Fred MacMurray, Tommy Steele, Greer Garson, Geraldine Page, Gladys Cooper, Hermione Baddeley",United States,11-Jun-21,1967,G,170 min,"Biographical, Coming of Age, Family",An immigrant finds a butler position in the home of a millionaire.
s200,Movie,The Pacifier,Adam Shankman,"Vin Diesel, Lauren Graham, Faith Ford, Brittany Snow, Max Thieriot, Chris Potter","Canada, United States",11-Jun-21,2005,PG,97 min,"Action-Adventure, Comedy, Spy/Espionage",A Navy SEAL gets his toughest mission yet: Babysitting.
s201,TV Show,Zenimation,,,United States,11-Jun-21,2020,TV-G,2 Seasons,"Animation, Anthology, Family","Unplug, relax and refresh your senses with the soundscapes of Disney Animation’s Zenimation."
s202,TV Show,Loki,,Tom Hiddleston,,9-Jun-21,2021,TV-14,1 Season,"Action-Adventure, Fantasy, Science Fiction",The mercurial villain Loki (Tom Hiddleston) resumes his role as the God of Mischief.
s203,TV Show,Gordon Ramsay: Uncharted,,Gordon Ramsay,United States,4-Jun-21,2018,TV-14,3 Seasons,"Action-Adventure, Docuseries, Lifestyle",Gordon Ramsay travels the globe on an epic adventure in search of culinary inspiration.
s204,TV Show,MUPPET BABIES,,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco","South Korea, United States, China, Japan",4-Jun-21,2017,TV-Y,3 Seasons,"Animation, Kids",The Muppet Babies are here to make dreams come true!
s205,Movie,Raya and the Last Dragon,"Don Hall, Carlos López Estrada","Kelly Marie Tran, Awkwafina , Izaac Wang, Gemma Chan, Daniel Dae Kim, Benedict Wong",United States,4-Jun-21,2021,PG,112 min,"Action-Adventure, Animation, Family","When evil threatens Kumandra, Raya must find the last dragon to save it."
s206,Movie,Red Tails,Anthony Hemingway,"Terrence Howard, Cuba Gooding Jr., Nate Parker, David Oyelowo, Tristan Wilds, Ne-Yo",United States,4-Jun-21,2012,PG-13,126 min,"Action-Adventure, Drama, Historical",Black fighter pilots get the chance to prove themselves during WWII.
s207,Movie,Us Again,Zach A. Parrish,,,4-Jun-21,2021,G,7 min,"Animation, Dance, Family",An elderly man and his young-at-heart wife rekindle their passion for life on one magical night.
s208,Movie,American Eid,Aqsa Altaf,"Shanessa Khawaja, Jenna Qureshi, Cash Herrera, Fazeelat Aslam, Maya Bednarek, Iris Starlett Perry",,28-May-21,2021,G,21 min,Drama,"Ameena, a homesick Muslim Pakistani immigrant, wakes up on Eid to find out she has to go to school."
s209,TV Show,Bluey,,"Dave Mccormack, Melanie Zanetti, Brad Elliot, Hsiao-Ling Tang","Australia, United Kingdom",28-May-21,2019,TV-Y,2 Seasons,"Animation, Kids","Bluey is a six year-old Blue Heeler dog, who turns everyday family life into adventures."
s210,Movie,Dinner Is Served,Hao Zheng,"Qi Sun, Briana Liu, Ben Wang, Harry Jarvis, Ray Wise, DeJean Brown",,28-May-21,2021,TV-PG,21 min,"Coming of Age, Drama",A Chinese student uncovers his true identity when trying out for a leadership role at a U.S. school.
s211,TV Show,Disney Sydney To The Max,,"Ruth Righi, Ava Kolker, Jackson Dollinger, Christian Simon, Ian Kesler, Caroline Rhea",United States,28-May-21,2018,TV-G,3 Seasons,"Comedy, Coming of Age, Family",Sydney navigates middle school with help from her Dad.
s212,Movie,Growing Fangs,Ann Marie Pace,"Keyla Monterroso Mejia, Cristela Alonzo, Grace Song, Olivia Sullivent, Gilberto Ortiz, Sean Burgos",,28-May-21,2021,TV-PG,20 min,"Coming of Age, Fantasy","Val Garcia, a Mexican-American half human/half vampire teenager, struggles to fit in either world."
s213,TV Show,Kingdom of the Polar Bears,,Dennis Compayre,,28-May-21,2021,TV-PG,1 Season,"Animals & Nature, Docuseries",Follow a mother polar bear as she raises two cubs on the Hudson Bay’s receding ice.
s214,Movie,Let's Be Tigers,Stephanie Abel Horowitz,"Otmara Marrero, Dash McCloud, Greg Worswick, Mike Millan",,28-May-21,2021,PG,15 min,Drama,"Grieving for her mother, Avalon finds comfort when she's put in charge of a 4-year-old for a night."
s215,Movie,The Last of the Chupacabras,Jessica Mendez Siqeiros,"Melba Martinez ph.D, Cici Lau, Seven True-Divine Purnell, William Knight, Amanda Maddock, Ronald Binion",,28-May-21,2021,TV-PG,14 min,Fantasy,A lonely Mexican-American woman unknowingly summons a dark and ancient creature.
s216,Movie,The Little Prince(ss),Moxie Peng,"Kalo Moss, Ching Yin Ryan Hu, Evan Lai, Brian Yang, Lynn Chen, Danni Wang",,28-May-21,2021,PG,19 min,Drama,"When Chinese kids Gabriel and Rob become friends, Rob's dad questions Gabriel's feminine behavior."
s217,TV Show,Wicked Tuna,,Mike Rowe,United States,28-May-21,2016,TV-14,10 Seasons,"Action-Adventure, Animals & Nature, Docuseries",Massachusetts fishermen make their living one catch at a time in pursuit of the bluefin tuna.
s218,TV Show,Big City Greens,,"Chris Houghton, Marieve Herington, Bob Joles, Artemis Pebdani","United States, South Korea",21-May-21,2017,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",The Green family moves from the country to Big City.
s219,TV Show,Fury Files,,Chi McBride,,21-May-21,2013,TV-Y7,1 Season,"Animation, Superhero",Get top-secret access to S.H.I.E.L.D. video dossiers on key Marvel heroes and villains.
s220,TV Show,Ice Road Rescue,,"David Wartnaby, Bjørn Lægreid, Thord Paulsen",United Kingdom,21-May-21,2015,TV-14,5 Seasons,"Docuseries, Reality, Survival",Ice Road Rescue follows Norwegian towing teams who rescue trucks and trailers on icy mountain roads.
s221,Movie,Tinker Bell and the Legend of the NeverBeast,Steve Loter,"Ginnifer Goodwin, Mae Whitman, Rosario Dawson, Lucy Liu, Raven-Symoné , Megan Hilty",United States,21-May-21,2014,G,79 min,"Action-Adventure, Animation, Fantasy",Tink and her friends risk everything to rescue the mysterious NeverBeast.
s222,TV Show,Schoolhouse Rock!,,"Bob Dorough, Jack Sheldon, Lynn Ahrens, Grady Tate, Blossom Dearie, Essra Mohawk",United States,17-May-21,1973,TV-G,6 Seasons,"Animals & Nature, Animation, Kids","Musical shorts teach kids history, grammar, and math."
s223,TV Show,Disney Special Agent Oso: Three Healthy Steps (Shorts),,"Sean Astin, Meghan Strange, Phill Lewis, Amber Hood, Brad Garrett",,14-May-21,2011,TV-Y,1 Season,"Action-Adventure, Animation, Kids",Oso and his friends watch a kid as they demonstrate the steps to performing a healthy activity.
